data,tipo,detalhes,longitude,latitude
2/24/2014,Colisoes,Moto,"-34,925,988","-8,029,113"
2/28/2014,Colisoes,Moto,"-34,903,339","-8,020,438"
3/1/2014,Ciclistas,Ciclista,"-34,949,516","-8,034,818"
3/1/2014,Atropelamentos,Pedestre,"-34,924,636","-8,011,427"
3/2/2014,Atropelamentos,Pedestre,"-34,941,486","-8,016,449"
3/3/2014,Atropelamentos,Pedestre,"-34,895,518","-8,115,814"
3/4/2014,Ciclistas,Ciclista,"-34,895,561","-8,115,803"
3/4/2014,Atropelamentos,Pedestre,"-34,932,779","-8,069,481"
3/4/2014,Atropelamentos,Pedestre,"-34,876,217","-8,061,715"
3/5/2014,Atropelamentos,Pedestre,"-34,886,355","-8,021,134"
3/6/2014,Atropelamentos,Pedestre,"-34,911,858","-8,095,959"
3/6/2014,Atropelamentos,Pedestre,"-34,879,929","-8,056,723"
3/7/2014,Atropelamentos,Pedestre,"-34,917,791","-8,026,011"
3/7/2014,Atropelamentos,Pedestre,"-34,878,695","-8,039,858"
3/7/2014,Atropelamentos,Pedestre,"-34,949,956","-8,034,456"
3/7/2014,Atropelamentos,Pedestre,"-3,489,908","-8,078,228"
3/9/2014,Ciclistas,Ciclista,"-34,882,665","-8,066,262"
3/10/2014,Atropelamentos,Pedestre,"-34,890,389","-8,019,902"
3/10/2014,Atropelamentos,Pedestre,"-34,918,655","-802,311"
3/10/2014,Atropelamentos,Pedestre,"-34,928,455","-8,097,728"
3/11/2014,Atropelamentos,Pedestre,"-34,932,878","-8,082,605"
3/12/2014,Atropelamentos,Pedestre,"-34,873,803","-8,049,945"
3/13/2014,Atropelamentos,Pedestre,"-34,879,913","-8,055,097"
3/14/2014,Atropelamentos,Pedestre,"-34,890,121","-8,108,453"
3/14/2014,Atropelamentos,Pedestre,"-34,899,992","-8,132,221"
3/15/2014,Atropelamentos,Pedestre,"-34,924,003","-804,236"
3/15/2014,Atropelamentos,Pedestre,"-34,937,929","-808,602"
3/16/2014,Ciclistas,Ciclista,"-34,881,871","-8,024,194"
3/16/2014,Atropelamentos,Pedestre,"-34,917,952","-800,336"
3/16/2014,Atropelamentos,Pedestre,"-34,931,467","-8,013,851"
3/16/2014,Atropelamentos,Acidente com animal,"-34,914,851","-8,013,846"
3/17/2014,Atropelamentos,Acidente com animal,"-3,490,026","-8,077,819"
3/18/2014,Atropelamentos,Pedestre,"-34,916,289","-8,062,416"
3/19/2014,Atropelamentos,Pedestre,"-34,926,068","-8,018,478"
3/20/2014,Atropelamentos,Pedestre,"-34,930,183","-8,016,332"
3/21/2014,Ciclistas,Ciclista,"-34,921,288","-8,106,403"
3/21/2014,Atropelamentos,Pedestre,"-3,488,017","-8,036,257"
3/22/2014,Ciclistas,Ciclista,"-34,891,752","-804,739"
3/22/2014,Atropelamentos,Pedestre,"-34,917,971","-8,037,943"
3/23/2014,Ciclistas,Ciclista,"-34,929,882","-8,088,378"
3/23/2014,Atropelamentos,Pedestre,"-3,492,584","-8,029,315"
3/23/2014,Atropelamentos,Pedestre,"-34,888,351","-8,020,715"
