Candidato,Partido,Votos
Michele Collins,PP,15357
Irmã Aimée,PSB,14338
Fred Ferreira,PSC,14277
Aderaldo Pinto,PSB,12767
Felipe Francismar,PSB,12183
Marília Arraes,PT,11872
Davi Muniz,PEN,11693
Natalia de Menudo,PSB,10277
Eduardo Marques,PSB,10177
Aline Mariano,PMDB,10139
Antonio Luiz Neto,PTB,9796
Professora Ana Lúcia,PRB,9538
Augusto Carreras,PSB,9162
Romerinho Jatobá,PROS,9088
Jadeval de Lima,PDT,8831
Andre Regis,PSDB,8702
Wanderson,PSC,8701
Jayme Asfora,PMDB,8657
Rinaldo Júnior,PRB,8604
Maguari,PSB,8366
Carlos Gueiros,PSB,8291
Marco Aurelio Meu Amigo,PRTB,7664
Marcos Di Bria,PSDC,7355
Prof. Jairo Britto,PT,7229
Chico Kiko,PP,7079
Almir Fernando,PC do B,6852
Eriberto Rafael,PTC,6158
Alcides Teixeira Neto,PRTB,6025
Romero Alburquerque,PP,5613
Gilberto Alves,PSD,5390
Aerto Luna,PRP,5216
Ivan Moraes,PSOL,5203
Dr Rogério Lucca,PSL,5093
Junior Bocão,PSDB,5063
Helio Guabiraba,PRTB,4836
Ricardo Cruz,PPS,4547
Rodrigo Coutinho,SD,4300
Renato Antunes,PSC,4261
Benjamim da Saúde,PEN,3772
Eduardo Chera,PDT,8255
Luiz Eustaquio,PSB,7544
Romildo Gomes,PSB,7003
Eurico Freire,REDE,6829
Vicente André Gomes,PSB,6205
Toinho do União,PSDC,5690
Wilton Brito,PP,5591
João da Costa,PT,5545
Oscar,PT,5533
Jurandir Liberal,PT,5531
Henrique Leite,PDT,5281
Isabella de Roldão,PDT,5125
Albanise,PSOL,4606
Rene Patriota,PV,4561
Marcos Menezes,PDT,4541
Josemi Simões,PSDC,4470
Alexandre Lacerda,PPL,4431
Albérisson Carlos,PSDB,4295
Fabio Gomes,PSD,4268
Samuel Salazar,PRTB,4252
Joselito Ferreira,PP,4250
Bruno Pinho Alves,PRTB,4217
Dra. Vera Lopes,PPS,4146
Vânio Silva,SD,3850
Marcos Justino,PRTB,3821
Zé Neto,PV,3766
Maria do Céu,PPS,3704
Henrique Seixas,PRTB,3687
Cida Pedrosa,PC do B,3682
Júnior de Cleto,PEN,3620
Eri,PSD,3599
Fernando Holanda,REDE,3480
